ST_NM,year,rain_mean_mm
Chhattisgarh,1979,910.8348070265039
Chhattisgarh,1980,1454.1574134324726
Chhattisgarh,1981,1177.8300622049524
Chhattisgarh,1982,1168.1410240258826
Chhattisgarh,1983,1342.2866132265642
Chhattisgarh,1984,1270.5982866682505
Chhattisgarh,1985,1238.7121791886264
Chhattisgarh,1986,1334.8878720082344
Chhattisgarh,1987,1144.981154040953
Chhattisgarh,1988,1230.8522995446858
Chhattisgarh,1989,1172.483826268778
Chhattisgarh,1990,1640.9925843559206
Chhattisgarh,1991,1199.0655797642705
Chhattisgarh,1992,1169.313164420465
Chhattisgarh,1993,1227.5477836834366
Chhattisgarh,1994,1803.4905749866837
Chhattisgarh,1995,1267.6416926547492
Chhattisgarh,1996,1156.7822807615526
Chhattisgarh,1997,1303.0407411252197
Chhattisgarh,1998,1286.3935629550563
Chhattisgarh,1999,1318.186026161517
Chhattisgarh,2000,973.3952324180618
Chhattisgarh,2001,1578.4506696697913
Chhattisgarh,2002,1025.7429625332356
Chhattisgarh,2003,1642.1682444474022
Chhattisgarh,2004,1141.4429203743214
Chhattisgarh,2005,1317.0445149753439
Chhattisgarh,2006,1415.3712174232069
Chhattisgarh,2007,1330.2746403828655
Chhattisgarh,2008,1248.515108875146
Chhattisgarh,2009,1001.1196523263658
Chhattisgarh,2010,1274.3745298291115
Chhattisgarh,2011,1305.3730619891694
Chhattisgarh,2012,1396.9058195857233
Chhattisgarh,2013,1408.4945128697707
Chhattisgarh,2014,1291.3820718163722
Chhattisgarh,2015,1136.2876200712042
Chhattisgarh,2016,1308.1353837418712
Chhattisgarh,2017,1121.8722414773154
Chhattisgarh,2018,1205.4972822045024
Chhattisgarh,2019,1402.9984139872618
Chhattisgarh,2020,1521.3062939501515
Chhattisgarh,2021,1271.3709685735796
Chhattisgarh,2022,1386.0651468928706
Chhattisgarh,2023,1251.2897288602392
Chhattisgarh,2024,1414.25
Dadra and Nagar Haveli and Daman and Diu,1966,1718.5448284447193
Dadra and Nagar Haveli and Daman and Diu,1967,1494.7068295031786
Dadra and Nagar Haveli and Daman and Diu,1968,2287.5978069379926
Dadra and Nagar Haveli and Daman and Diu,1969,2440.52668851614
Dadra and Nagar Haveli and Daman and Diu,1970,2641.5344527065754
Dadra and Nagar Haveli and Daman and Diu,1971,2222.3007594347
Dadra and Nagar Haveli and Daman and Diu,1972,1360.0393297225237
Dadra and Nagar Haveli and Daman and Diu,1973,2595.9744864851236
Dadra and Nagar Haveli and Daman and Diu,1974,1243.848854534328
Dadra and Nagar Haveli and Daman and Diu,1975,2387.8584957122803
Dadra and Nagar Haveli and Daman and Diu,1976,2674.8406933248043
Dadra and Nagar Haveli and Daman and Diu,1977,2251.340564072132
Dadra and Nagar Haveli and Daman and Diu,1978,1419.2327074930072
Dadra and Nagar Haveli and Daman and Diu,1979,1627.26027739048
Dadra and Nagar Haveli and Daman and Diu,1980,2282.7393795251846
Dadra and Nagar Haveli and Daman and Diu,1981,4123.632522195578
Dadra and Nagar Haveli and Daman and Diu,1982,2552.259979367256
Dadra and Nagar Haveli and Daman and Diu,1983,4074.385386273265
Dadra and Nagar Haveli and Daman and Diu,1984,1706.989652454853
Dadra and Nagar Haveli and Daman and Diu,1985,1735.8232856988907
Dadra and Nagar Haveli and Daman and Diu,1986,1622.4760488569736
Dadra and Nagar Haveli and Daman and Diu,1987,1621.00522878021
Dadra and Nagar Haveli and Daman and Diu,1988,2479.3499796688557
Dadra and Nagar Haveli and Daman and Diu,1989,1721.4067371562123
Dadra and Nagar Haveli and Daman and Diu,1990,2251.34666210413
Dadra and Nagar Haveli and Daman and Diu,1991,2069.242264300585
Dadra and Nagar Haveli and Daman and Diu,1992,1871.0647277832031
Dadra and Nagar Haveli and Daman and Diu,1993,2660.530012138188
Dadra and Nagar Haveli and Daman and Diu,1994,3604.5381059348583
